Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
13506825,tmux: Productive Mouse-Free Development,Brian P. Hogan,"Hogan, Brian P.",,"=""1934356964""","=""9781934356968""",0,3.89,The Pragmatic Bookshelf,ebook,88,2012,2012,,2017/02/27,"to-read, non-fiction","to-read (#301), non-fiction (#232)",to-read,,,,0,,,0,,,,,
19084476,Remote Pairing: Collaborative Tools for Distributed Development,Joe Kutner,"Kutner, Joe",,"=""1937785742""","=""9781937785741""",0,3.50,Pragmatic Bookshelf,Paperback,108,2013,2013,,2017/02/27,"to-read, non-fiction","to-read (#300), non-fiction (#231)",to-read,,,,0,,,0,,,,,
12962826,"Build Awesome Command-Line Applications in Ruby: Control Your Computer, Simplify Your Life",David B. Copeland,"Copeland, David B.",,"=""1934356913""","=""9781934356913""",0,3.77,Pragmatic Bookshelf,Paperback,225,2012,2012,,2017/02/27,"to-read, non-fiction","to-read (#299), non-fiction (#230)",to-read,,,,0,,,0,,,,,
18363907,Seven Web Frameworks in Seven Weeks,Jack Moffitt,"Moffitt, Jack",Fred Daoud,"=""1937785637""","=""9781937785635""",0,3.72,Pragmatic Programmers,ebook,300,2014,2013,,2017/02/27,"to-read, non-fiction","to-read (#298), non-fiction (#229)",to-read,,,,0,,,0,,,,,
26489826,Exercises for Programmers: 57 Challenges to Develop Your Coding Skills,Brian P. Hogan,"Hogan, Brian P.",,"=""1680501224""","=""9781680501223""",0,3.50,Pragmatic Bookshelf,Paperback,110,2015,2015,,2017/02/27,"to-read, non-fiction","to-read (#297), non-fiction (#228)",to-read,,,,0,,,0,,,,,
25069349,Mazes for Programmers: Code Your Own Twisty Little Passages,Jamis Buck,"Buck, Jamis",,"=""1680500554""","=""9781680500554""",0,4.25,Pragmatic Bookshelf,Paperback,275,2015,2015,,2017/02/27,"to-read, non-fiction","to-read (#296), non-fiction (#227)",to-read,,,,0,,,0,,,,,
17971957,Programming Elixir: Functional |> Concurrent |> Pragmatic |> Fun,Dave Thomas,"Thomas, Dave",,"=""1937785580""","=""9781937785581""",0,4.31,The Pragmatic Bookshelf,Paperback,287,2013,2013,,2017/02/27,"to-read, non-fiction","to-read (#295), non-fiction (#226)",to-read,,,,0,,,0,,,,,
22633418,Seven More Languages in Seven Weeks: Languages That Are Shaping the Future,Bruce A. Tate,"Tate, Bruce A.","Ian Dees, Frederic Daoud, Jack Moffitt","=""1941222153""","=""9781941222157""",0,3.55,Pragmatic Bookshelf,Paperback,320,2014,2014,,2017/02/27,"to-read, non-fiction","to-read (#294), non-fiction (#225)",to-read,,,,0,,,0,,,,,
26780371,Learn Game Programming with Ruby: Bring Your Ideas to Life with Gosu,Mark Sobkowicz,"Sobkowicz, Mark",,"=""1680500732""","=""9781680500738""",0,3.67,Pragmatic Bookshelf,Paperback,185,2015,2015,,2017/02/27,"to-read, non-fiction","to-read (#293), non-fiction (#224)",to-read,,,,0,,,0,,,,,
18774981,Waking Up: A Guide to Spirituality Without Religion,Sam Harris,"Harris, Sam",,"=""1451636016""","=""9781451636017""",0,3.86,Simon & Schuster,Hardcover,256,2014,2014,,2017/02/27,"to-read, non-fiction","to-read (#292), non-fiction (#223)",to-read,,,,0,,,0,,,,,
10483171,The Beginning of Infinity: Explanations That Transform the World,David Deutsch,"Deutsch, David",,"=""0670022756""","=""9780670022755""",0,4.06,Viking,Hardcover,487,2011,2011,,2017/02/27,"to-read, non-fiction","to-read (#291), non-fiction (#222)",to-read,,,,0,,,0,,,,,
168325,How Equal Temperament Ruined Harmony (And Why You Should Care),Ross W. Duffin,"Duffin, Ross W.",,"=""0393062279""","=""9780393062274""",0,3.86,W. W. Norton & Company,Hardcover,208,2006,2006,,2017/02/27,"to-read, non-fiction","to-read (#290), non-fiction (#221)",to-read,,,,0,,,0,,,,,
3600,The Complete Sherlock Holmes 1,Arthur Conan Doyle,"Doyle, Arthur Conan",Kyle Freeman,"=""1593082037""","=""9781593082031""",0,4.48,Barnes & Noble Classics,Hardcover,709,2004,2004,,2017/02/27,"to-read, fiction","to-read (#289), fiction (#69)",to-read,,,,0,,,0,,,,,
